epoch,seed,predictor_type,train_loss
1,0,mlp,150020.04288736978
2,0,mlp,28302.981119791668
3,0,mlp,21259.291564941406
4,0,mlp,23382.63091023763
5,0,mlp,21734.62957763672
6,0,mlp,19282.97350056966
7,0,mlp,19569.029947916668
8,0,mlp,18531.64390563965
9,0,mlp,18244.973175048828
10,0,mlp,18144.379338582356
11,0,mlp,18921.191782633465
12,0,mlp,16766.922587076824
13,0,mlp,17217.603525797527
14,0,mlp,16800.423990885418
15,0,mlp,17822.2823638916
16,0,mlp,18901.67377726237
17,0,mlp,17424.813618977863
18,0,mlp,20478.490681966145
19,0,mlp,16959.01613108317
20,0,mlp,17832.9788869222
21,0,mlp,16976.632883707684
22,0,mlp,15801.55793762207
23,0,mlp,14575.511823018393
24,0,mlp,14296.319610595703
25,0,mlp,14369.624440511068
26,0,mlp,14582.469156901041
27,0,mlp,15815.920506795248
28,0,mlp,17398.001118977863
29,0,mlp,13925.049647013346
30,0,mlp,13914.901606241861
31,0,mlp,13733.08920288086
32,0,mlp,13147.176981608072
33,0,mlp,15209.852310180664
34,0,mlp,18537.797200520832
35,0,mlp,17724.117268880207
36,0,mlp,43125.73673502604
37,0,mlp,21553.026428222656
38,0,mlp,17895.318440755207
39,0,mlp,16029.88026936849
40,0,mlp,16864.74216715495
41,0,mlp,15177.79817199707
42,0,mlp,18788.306345621746
43,0,mlp,16946.50603230794
44,0,mlp,18412.75547281901
45,0,mlp,14384.037414550781
46,0,mlp,15596.50335184733
47,0,mlp,14946.653299967447
48,0,mlp,12853.823216756186
49,0,mlp,12133.70073445638
50,0,mlp,12857.367431640625
51,0,mlp,12288.812464396158
52,0,mlp,11431.646937052408
53,0,mlp,10631.246317545572
54,0,mlp,10082.636642456055
55,0,mlp,9378.715744018555
56,0,mlp,9929.574460347494
57,0,mlp,9208.588264465332
58,0,mlp,8843.16779836019
59,0,mlp,10914.923400878906
60,0,mlp,10050.019256591797
61,0,mlp,12520.66081237793
62,0,mlp,13280.266174316406
63,0,mlp,11709.632893880209
64,0,mlp,10159.906270345053
65,0,mlp,12118.247039794922
66,0,mlp,11847.242146809896
67,0,mlp,8790.240676879883
68,0,mlp,8284.722549438477
69,0,mlp,29880.82320658366
70,0,mlp,19903.051035563152
71,0,mlp,14208.458994547525
72,0,mlp,10681.017618815104
73,0,mlp,21924.543670654297
74,0,mlp,12356.739624023438
75,0,mlp,42057.46134440104
76,0,mlp,14553.930135091146
77,0,mlp,40577.19565836588
78,0,mlp,22154.471028645832
79,0,mlp,10463.621754964193
80,0,mlp,9702.437632242838
81,0,mlp,8867.83480834961
82,0,mlp,6657.175160725911
83,0,mlp,6252.326939900716
84,0,mlp,6825.84614054362
85,0,mlp,5678.45637512207
86,0,mlp,5960.299270629883
87,0,mlp,5761.40535736084
88,0,mlp,5222.7081298828125
89,0,mlp,4335.965835571289
90,0,mlp,3621.0479532877603
91,0,mlp,3333.2233861287436
92,0,mlp,3120.776974995931
93,0,mlp,2958.4020029703775
94,0,mlp,3171.8288917541504
95,0,mlp,2750.927361806234
96,0,mlp,2440.683867136637
97,0,mlp,2288.5620142618814
98,0,mlp,2154.7160275777183
99,0,mlp,2048.524388631185
100,0,mlp,1962.9719301859539
101,0,mlp,1999.0895729064941
102,0,mlp,1905.6095689137776
103,0,mlp,2265.3997968037925
104,0,mlp,2098.8911170959473
105,0,mlp,2419.309454600016
106,0,mlp,2939.6780420939126
107,0,mlp,3907.676030476888
108,0,mlp,3066.296918233236
109,0,mlp,2203.48859278361
110,0,mlp,2154.164621988932
111,0,mlp,2024.4592157999675
112,0,mlp,1566.8112513224285
113,0,mlp,1582.185152689616
114,0,mlp,1401.611089070638
115,0,mlp,1318.107592900594
116,0,mlp,1349.0196278889973
117,0,mlp,1518.9187870025635
118,0,mlp,1299.3413365681965
119,0,mlp,1562.9759979248047
120,0,mlp,1400.0479443868
121,0,mlp,1456.797565460205
122,0,mlp,1543.2347768147786
123,0,mlp,1376.390682856242
124,0,mlp,1172.1789620717366
125,0,mlp,923.8496513366699
126,0,mlp,936.6461346944174
127,0,mlp,891.3431771596273
128,0,mlp,1037.1800797780354
129,0,mlp,2116.114515940348
130,0,mlp,2598.3329683939614
131,0,mlp,2132.0744984944663
132,0,mlp,1542.4539438883464
133,0,mlp,2021.3426825205486
134,0,mlp,1548.2779369354248
135,0,mlp,1359.1062876383464
136,0,mlp,1742.4722112019856
137,0,mlp,2618.1245918273926
138,0,mlp,2102.225418726603
139,0,mlp,2303.9498176574707
140,0,mlp,1851.3566907246907
141,0,mlp,1332.420426050822
142,0,mlp,923.2105127970377
143,0,mlp,915.315803527832
144,0,mlp,765.6833152770996
145,0,mlp,682.8552392323812
146,0,mlp,525.8748288154602
147,0,mlp,549.8207133611044
148,0,mlp,483.68670686086017
149,0,mlp,603.6032209396362
150,0,mlp,739.6066191991171
151,0,mlp,626.7240835825602
152,0,mlp,944.7085628509521
153,0,mlp,1327.3028033574421
154,0,mlp,2083.8061669667563
155,0,mlp,1464.183811823527
156,0,mlp,1906.2135639190674
157,0,mlp,1214.5099086761475
158,0,mlp,1026.5474586486816
159,0,mlp,1429.5915826161702
160,0,mlp,1058.9806283315022
161,0,mlp,1105.299415588379
162,0,mlp,1109.1216303507488
163,0,mlp,991.7487932840983
164,0,mlp,720.8954372406006
165,0,mlp,773.7024110158285
166,0,mlp,718.9772434234619
167,0,mlp,1006.6138725280762
168,0,mlp,816.7098426818848
169,0,mlp,777.4813299179077
170,0,mlp,879.9331007003784
171,0,mlp,805.2581532796224
172,0,mlp,711.6984017690023
173,0,mlp,809.9977982838949
174,0,mlp,525.8028456370035
175,0,mlp,906.6171102523804
176,0,mlp,1010.0029157002767
177,0,mlp,1155.7603505452473
178,0,mlp,917.0526914596558
179,0,mlp,695.6304839452108
180,0,mlp,592.5633309682211
181,0,mlp,588.6685301462809
182,0,mlp,573.9100987116495
183,0,mlp,577.2877928415934
184,0,mlp,597.6778885523478
185,0,mlp,751.1285664240519
186,0,mlp,940.6633653640747
187,0,mlp,847.2173223495483
188,0,mlp,724.4888490041097
189,0,mlp,1099.7848847707112
190,0,mlp,933.6972948710123
191,0,mlp,1147.6936353047688
192,0,mlp,882.1350987752279
193,0,mlp,579.6767409642538
194,0,mlp,649.3790235519409
195,0,mlp,776.1378183364868
196,0,mlp,1059.5728232065837
197,0,mlp,945.4372431437174
198,0,mlp,1140.857364654541
199,0,mlp,915.3978605270386
200,0,mlp,1280.3363478978474
1,1,mlp,43651.39292399088
2,1,mlp,23867.906331380207
3,1,mlp,26243.7201944987
4,1,mlp,26891.621622721355
5,1,mlp,20485.93572998047
6,1,mlp,34087.41255696615
7,1,mlp,27143.09981282552
8,1,mlp,25950.410013834637
9,1,mlp,22470.74580891927
10,1,mlp,21956.302154541016
11,1,mlp,19393.426005045574
12,1,mlp,21653.528238932293
13,1,mlp,20322.675537109375
14,1,mlp,19852.884979248047
15,1,mlp,18491.88348388672
16,1,mlp,16934.649508158367
17,1,mlp,17580.40816752116
18,1,mlp,18487.3003133138
19,1,mlp,19108.611572265625
20,1,mlp,23829.58967081706
21,1,mlp,18309.63771565755
22,1,mlp,16393.67416381836
23,1,mlp,17237.32876078288
24,1,mlp,17406.405181884766
25,1,mlp,16917.715738932293
26,1,mlp,16963.681711832684
27,1,mlp,14131.507708231607
28,1,mlp,15847.06583150228
29,1,mlp,13974.926696777344
30,1,mlp,12914.38491566976
31,1,mlp,11548.03426615397
32,1,mlp,11172.582992553711
33,1,mlp,9853.741806030273
34,1,mlp,9078.045717875162
35,1,mlp,8296.775360107422
36,1,mlp,7591.764643351237
37,1,mlp,6523.993146260579
38,1,mlp,6240.198160807292
39,1,mlp,5827.784474690755
40,1,mlp,5243.783795674642
41,1,mlp,5003.773668924968
42,1,mlp,4772.372492472331
43,1,mlp,5691.3029047648115
44,1,mlp,5178.861736297607
45,1,mlp,3892.2607917785645
46,1,mlp,3630.691074371338
47,1,mlp,3241.0173918406167
48,1,mlp,2942.217929840088
49,1,mlp,3064.3121242523193
50,1,mlp,3164.8458461761475
51,1,mlp,3804.318110148112
52,1,mlp,3747.8318456014
53,1,mlp,3808.093287150065
54,1,mlp,5162.737856547038
55,1,mlp,4962.175430297852
56,1,mlp,6364.656814575195
57,1,mlp,19790.716211954754
58,1,mlp,13129.106740315756
59,1,mlp,13264.629338582357
60,1,mlp,10882.52318318685
61,1,mlp,17785.997365315754
62,1,mlp,31631.049067179363
63,1,mlp,16791.26996866862
64,1,mlp,15585.918884277344
65,1,mlp,11621.391840616861
66,1,mlp,65480.808614095055
67,1,mlp,8901.217168172201
68,1,mlp,11209.120890299479
69,1,mlp,67087.77492777507
70,1,mlp,72862.72504679362
71,1,mlp,16752.098307291668
72,1,mlp,10898.78880818685
73,1,mlp,6462.023905436198
74,1,mlp,5397.961578369141
75,1,mlp,5933.568913777669
76,1,mlp,4780.369415283203
77,1,mlp,4435.640116373698
78,1,mlp,3827.6429290771484
79,1,mlp,3426.3263498942056
80,1,mlp,3073.9592514038086
81,1,mlp,3040.203295389811
82,1,mlp,3036.2523193359375
83,1,mlp,3030.0144577026367
84,1,mlp,2804.0937563578286
85,1,mlp,2537.0218454996743
86,1,mlp,2317.220659891764
87,1,mlp,2240.4782180786133
88,1,mlp,2158.6928431193032
89,1,mlp,2092.428628285726
90,1,mlp,2033.307409922282
91,1,mlp,1984.0554911295574
92,1,mlp,2352.6656545003257
93,1,mlp,1984.8543764750164
94,1,mlp,1920.6662572224934
95,1,mlp,1996.5877164204915
96,1,mlp,2282.5006841023765
97,1,mlp,2543.315430959066
98,1,mlp,2254.656748453776
99,1,mlp,1983.762659708659
100,1,mlp,1834.7756334940593
101,1,mlp,2125.1400095621743
102,1,mlp,1790.5164845784504
103,1,mlp,1618.1298726399739
104,1,mlp,1593.9792493184407
105,1,mlp,1255.3084297180176
106,1,mlp,1078.342098871867
107,1,mlp,952.8768304189047
108,1,mlp,862.2531509399414
109,1,mlp,818.0780839920044
110,1,mlp,776.8400281270345
111,1,mlp,895.9796625773112
112,1,mlp,939.5450693766276
113,1,mlp,850.4346968332926
114,1,mlp,819.9765958786011
115,1,mlp,884.493626276652
116,1,mlp,901.4694026311239
117,1,mlp,954.1849727630615
118,1,mlp,1028.222983678182
119,1,mlp,1036.2486629486084
120,1,mlp,1406.5963319142659
121,1,mlp,1003.3369789123535
122,1,mlp,951.051929473877
123,1,mlp,1003.5648053487142
124,1,mlp,1283.0962104797363
125,1,mlp,1746.1977628072102
126,1,mlp,1039.8634077707927
127,1,mlp,1340.7693761189778
128,1,mlp,1895.7889315287273
129,1,mlp,1078.4091396331787
130,1,mlp,958.166982014974
131,1,mlp,1796.7158470153809
132,1,mlp,1810.3798936208088
133,1,mlp,2514.219013849894
134,1,mlp,1402.371884028117
135,1,mlp,969.0407657623291
136,1,mlp,1036.1975924173992
137,1,mlp,1209.748550415039
138,1,mlp,1218.5992616017659
139,1,mlp,1407.7238324483235
140,1,mlp,1229.4442675908406
141,1,mlp,1116.4061056772869
142,1,mlp,1009.9732812245687
143,1,mlp,923.4832105636597
144,1,mlp,701.7459710439047
145,1,mlp,818.877524693807
146,1,mlp,606.0670630137125
147,1,mlp,883.4236516952515
148,1,mlp,922.2727953592936
149,1,mlp,911.7510782877604
150,1,mlp,988.4472198486328
151,1,mlp,1002.9031410217285
152,1,mlp,1152.568905512492
153,1,mlp,1057.8114760716755
154,1,mlp,591.9043550491333
155,1,mlp,702.8241221110026
156,1,mlp,1035.4103813171387
157,1,mlp,1034.2070411046345
158,1,mlp,1676.2755120595295
159,1,mlp,1766.1197732289631
160,1,mlp,1009.2062670389811
161,1,mlp,1171.4839436213176
162,1,mlp,783.8405475616455
163,1,mlp,683.3777071634928
164,1,mlp,677.5271816253662
165,1,mlp,815.1177336374918
166,1,mlp,752.0925744374593
167,1,mlp,864.9106270472208
168,1,mlp,969.0075651804606
169,1,mlp,1137.750727335612
170,1,mlp,847.4353446960449
171,1,mlp,823.4068406422933
172,1,mlp,749.6056707700094
173,1,mlp,794.2132199605306
174,1,mlp,780.656925201416
175,1,mlp,619.4944206873575
176,1,mlp,846.7469434738159
177,1,mlp,845.8805948893229
178,1,mlp,647.228066444397
179,1,mlp,853.5646053949991
180,1,mlp,863.8901821772257
181,1,mlp,979.3636074066162
182,1,mlp,1295.5890566507976
183,1,mlp,1558.9847431182861
184,1,mlp,1132.5802609125774
185,1,mlp,793.0985062917074
186,1,mlp,767.4136336644491
187,1,mlp,1186.8030525843303
188,1,mlp,3548.2939993540444
189,1,mlp,2337.647912979126
190,1,mlp,1606.8224957784016
191,1,mlp,1228.9246425628662
192,1,mlp,935.1020113627116
193,1,mlp,1204.8163553873699
194,1,mlp,1696.865691502889
195,1,mlp,2796.2403462727866
196,1,mlp,4124.855138142903
197,1,mlp,8341.68081410726
198,1,mlp,93928.24601872762
199,1,mlp,43755.000900268555
200,1,mlp,567960.5776468912
1,2,mlp,1998576.6393025715
2,2,mlp,35640.152893066406
3,2,mlp,30925.098286946613
4,2,mlp,28248.788838704426
5,2,mlp,23562.234456380207
6,2,mlp,22644.57521565755
7,2,mlp,20739.312642415363
8,2,mlp,19218.14092508952
9,2,mlp,18320.15103149414
10,2,mlp,17827.546259562176
11,2,mlp,17632.689743041992
12,2,mlp,17784.455047607422
13,2,mlp,18295.85915629069
14,2,mlp,18242.637402852375
15,2,mlp,17857.541646321613
16,2,mlp,18434.320638020832
17,2,mlp,17331.116149902344
18,2,mlp,17598.675893147785
19,2,mlp,17965.973103841145
20,2,mlp,17597.619262695312
21,2,mlp,17388.265162150066
22,2,mlp,17612.732004801434
23,2,mlp,16772.604395548504
24,2,mlp,17932.204813639324
25,2,mlp,17848.01109822591
26,2,mlp,19363.825714111328
27,2,mlp,18136.632909138996
28,2,mlp,18192.198811848957
29,2,mlp,20071.772186279297
30,2,mlp,16526.720392862957
31,2,mlp,16306.12510172526
32,2,mlp,16262.845692952475
33,2,mlp,15977.128550211588
34,2,mlp,15578.760144551596
35,2,mlp,15160.33115641276
36,2,mlp,14953.509943644205
37,2,mlp,14846.244271596273
38,2,mlp,14594.979517618814
39,2,mlp,14837.606808980307
40,2,mlp,15805.05118306478
41,2,mlp,15015.002522786459
42,2,mlp,14390.778676350912
43,2,mlp,14202.044492085775
44,2,mlp,14206.36126200358
45,2,mlp,14153.647748311361
46,2,mlp,14844.989761352539
47,2,mlp,14246.758260091146
48,2,mlp,13406.859313964844
49,2,mlp,13598.623977661133
50,2,mlp,13665.845181783041
51,2,mlp,13335.614987691244
52,2,mlp,12924.38476308187
53,2,mlp,12376.56564839681
54,2,mlp,12381.777359008789
55,2,mlp,12216.68652598063
56,2,mlp,11620.705472310385
57,2,mlp,11670.208951314291
58,2,mlp,12718.778783162436
59,2,mlp,11769.736117045084
60,2,mlp,11694.030883789062
61,2,mlp,10793.92463684082
62,2,mlp,10614.957359313965
63,2,mlp,11583.675440470377
64,2,mlp,11136.598355611166
65,2,mlp,10289.686002095541
66,2,mlp,9785.415519714355
67,2,mlp,9066.957986195883
68,2,mlp,8876.88811747233
69,2,mlp,8359.565587361654
70,2,mlp,8675.02747853597
71,2,mlp,8179.394406636556
72,2,mlp,8807.327041625977
73,2,mlp,8533.12637837728
74,2,mlp,7371.93408203125
75,2,mlp,6953.4010009765625
76,2,mlp,6350.611882527669
77,2,mlp,6426.76917775472
78,2,mlp,6027.429616292317
79,2,mlp,5580.634916941325
80,2,mlp,5802.27414449056
81,2,mlp,6559.42995707194
82,2,mlp,7420.708134969075
83,2,mlp,8222.323786417643
84,2,mlp,5282.634140014648
85,2,mlp,4531.663627624512
86,2,mlp,4566.506881713867
87,2,mlp,4819.926812489827
88,2,mlp,4810.018157958984
89,2,mlp,3963.762250264486
90,2,mlp,4089.74076461792
91,2,mlp,3760.317916870117
92,2,mlp,3945.075757344564
93,2,mlp,3378.505734761556
94,2,mlp,3233.172520955404
95,2,mlp,2998.5155588785806
96,2,mlp,3059.421693166097
97,2,mlp,3120.340936024984
98,2,mlp,2681.1722361246743
99,2,mlp,2702.5576782226562
100,2,mlp,2387.9982109069824
101,2,mlp,2268.2184734344482
102,2,mlp,2022.0354398091633
103,2,mlp,2183.4209702809653
104,2,mlp,2214.726711908976
105,2,mlp,2760.2275479634604
106,2,mlp,4446.222928365071
107,2,mlp,10981.739588419596
108,2,mlp,11185392.151062012
109,2,mlp,512701.944539388
110,2,mlp,55072.9599202474
111,2,mlp,32412.945882161457
112,2,mlp,29851.235107421875
113,2,mlp,26969.141682942707
114,2,mlp,25625.57763671875
115,2,mlp,23860.1538289388
116,2,mlp,24894.391479492188
117,2,mlp,23123.20039876302
118,2,mlp,22509.827901204426
119,2,mlp,21995.87175496419
120,2,mlp,20676.706288655598
121,2,mlp,20134.77356974284
122,2,mlp,19573.230712890625
123,2,mlp,19454.034261067707
124,2,mlp,18872.41475423177
125,2,mlp,19139.501424153645
126,2,mlp,19060.74262491862
127,2,mlp,18314.52032470703
128,2,mlp,18072.56967671712
129,2,mlp,17737.964279174805
130,2,mlp,17224.470896402996
131,2,mlp,17085.667811075848
132,2,mlp,17097.863576253254
133,2,mlp,16871.624145507812
134,2,mlp,16703.27814737956
135,2,mlp,16662.984817504883
136,2,mlp,16503.265182495117
137,2,mlp,16558.179982503254
138,2,mlp,16517.861729939777
139,2,mlp,16522.839635213215
140,2,mlp,16375.896260579428
141,2,mlp,16197.870877583822
142,2,mlp,16126.793299357096
143,2,mlp,15908.515599568686
144,2,mlp,15923.522811889648
145,2,mlp,15862.89517211914
146,2,mlp,15787.968856811523
147,2,mlp,15584.384160359701
148,2,mlp,15617.234049479166
149,2,mlp,15462.850713094076
150,2,mlp,15387.776733398438
151,2,mlp,15274.482070922852
152,2,mlp,15200.649973551432
153,2,mlp,15268.77045694987
154,2,mlp,15126.897148132324
155,2,mlp,15033.506912231445
156,2,mlp,15054.846379597982
157,2,mlp,14834.301612854004
158,2,mlp,14860.283732096354
159,2,mlp,15254.893142700195
160,2,mlp,14866.736465454102
161,2,mlp,14522.175048828125
162,2,mlp,14468.647761027018
163,2,mlp,14580.28667195638
164,2,mlp,14451.098220825195
165,2,mlp,14430.384806315104
166,2,mlp,14248.594924926758
167,2,mlp,14383.945627848307
168,2,mlp,14107.08780415853
169,2,mlp,13870.3005472819
170,2,mlp,13780.364138285318
171,2,mlp,13688.215927124023
172,2,mlp,13768.801132202148
173,2,mlp,13593.42438252767
174,2,mlp,13519.42064412435
175,2,mlp,13270.10395304362
176,2,mlp,13174.230911254883
177,2,mlp,12958.60258992513
178,2,mlp,12853.591082255045
179,2,mlp,12850.59174601237
180,2,mlp,13024.93674214681
181,2,mlp,12841.82610321045
182,2,mlp,12812.172470092773
183,2,mlp,12566.859179178873
184,2,mlp,12583.332237243652
185,2,mlp,12168.022537231445
186,2,mlp,12432.377667744955
187,2,mlp,12655.656051635742
188,2,mlp,12020.621126810709
189,2,mlp,12195.491508483887
190,2,mlp,11741.16775004069
191,2,mlp,11271.482538859049
192,2,mlp,10851.122411092123
193,2,mlp,10583.165435791016
194,2,mlp,10313.359743754068
195,2,mlp,10129.161600748697
196,2,mlp,10024.3122660319
197,2,mlp,9843.667729695639
198,2,mlp,9591.046696980795
